iter	RMSE
0	14.3562279
1	13.43977662
2	12.62514436
3	11.8627714
4	11.17595865
5	10.62653007
6	10.11463543
7	9.628324706
8	9.202079569
9	8.76065766
10	8.373039912
11	8.035483206
12	7.746408562
13	7.485983884
14	7.269800312
15	7.039273591
16	6.852293063
17	6.677461329
18	6.523924712
19	6.376859265
20	6.246983542
21	6.141365114
22	6.042946211
23	5.949735665
24	5.853299248
25	5.788897654
26	5.715070809
27	5.652986097
28	5.603153674
29	5.548866919
30	5.503963094
31	5.458683717
32	5.408997792
33	5.375780749
34	5.33336709
35	5.291887507
36	5.265784311
37	5.241058849
38	5.216436816
39	5.195898796
40	5.178624128
41	5.159057565
42	5.142684563
43	5.127738674
44	5.111771419
45	5.095108227
46	5.067687921
47	5.054257557
48	5.036550746
49	5.020109304
50	5.006774047
51	4.992607728
52	4.99095369
53	4.971552863
54	4.96020275
55	4.948081414
56	4.937266042
57	4.917871633
58	4.911157793
59	4.893503745
60	4.881357673
61	4.864757328
62	4.850033898
63	4.834969417
64	4.830843321
65	4.821953853
66	4.810301577
67	4.794907151
68	4.787919659
69	4.7727217
70	4.767967855
71	4.760620589
72	4.747763256
73	4.738173042
74	4.723974945
75	4.714048326
76	4.705964269
77	4.696934873
78	4.687543614
79	4.680488425
80	4.67615442
81	4.66886872
82	4.664923147
83	4.652753716
84	4.642319665
85	4.625298274
86	4.610173582
87	4.604548942
88	4.591041201
89	4.587524157
90	4.574130995
91	4.570789011
92	4.558382628
93	4.55410778
94	4.544756597
95	4.53485568
96	4.526694207
97	4.520781797
98	4.509015344
99	4.502030864
