iter	RMSE
0	14.97825085
1	14.58676556
2	14.21238793
3	13.83831953
4	13.49950624
5	13.2018702
6	12.8933628
7	12.58032518
8	12.30567714
9	12.00544852
10	11.7097308
11	11.46317159
12	11.18856458
13	10.92455638
14	10.68179328
15	10.44630122
16	10.22397615
17	10.01524008
18	9.815036776
19	9.631170586
20	9.476629856
21	9.298966576
22	9.130627724
23	8.96004638
24	8.804323107
25	8.666103205
26	8.524447675
27	8.418300939
28	8.303789168
29	8.162767058
30	8.055452223
31	7.949243697
32	7.839324939
33	7.734468146
34	7.625025061
35	7.527396667
36	7.430797423
37	7.350420717
38	7.261689716
39	7.180989386
40	7.094143573
41	7.01899878
42	6.95175768
43	6.882829796
44	6.809848263
45	6.746944732
46	6.690589157
47	6.629493972
48	6.569633627
49	6.516042763
50	6.457777061
51	6.402577586
52	6.350667389
53	6.303635596
54	6.259469427
55	6.214968177
56	6.175640159
57	6.141480659
58	6.104203218
59	6.073913561
60	6.045133732
61	6.010282167
62	5.980558016
63	5.947880721
64	5.922841936
65	5.893624038
66	5.869997761
67	5.844032811
68	5.820551752
69	5.799470426
70	5.77035507
71	5.750353492
72	5.729153997
73	5.702919577
74	5.678378137
75	5.655192608
76	5.636885352
77	5.615296609
78	5.596846642
79	5.579981298
80	5.563063742
81	5.550589394
82	5.53299788
83	5.518432519
84	5.499305223
85	5.484344703
86	5.467589798
87	5.455938173
88	5.443125265
89	5.423304629
90	5.409303541
91	5.398416889
92	5.383466223
93	5.375209027
94	5.36569223
95	5.350758176
96	5.335970684
97	5.321797314
98	5.307503269
99	5.297738435
100	5.287414936
101	5.278060457
102	5.265381446
103	5.256443281
104	5.246115605
105	5.237876234
106	5.226923711
107	5.219880301
108	5.212993102
109	5.205133539
110	5.198272585
111	5.190848069
112	5.180388207
113	5.175877231
114	5.16941746
115	5.158470448
116	5.151520994
117	5.14599457
118	5.138704093
119	5.132275758
120	5.125742396
121	5.119770539
122	5.113318875
123	5.104537848
124	5.102270586
125	5.094378089
126	5.090774158
127	5.083305648
128	5.078159529
129	5.072502657
130	5.067060216
131	5.061624188
132	5.052418816
133	5.048384858
134	5.043495042
135	5.040087419
136	5.035197791
137	5.032428695
138	5.027577752
139	5.023788703
140	5.018949323
141	5.014703959
142	5.009485728
143	5.003612029
144	4.998187169
145	4.994893223
146	4.989081198
147	4.984125718
148	4.977493624
149	4.973526342
150	4.968347505
151	4.963974017
152	4.955826232
153	4.950857295
154	4.943954321
155	4.936390943
156	4.927545697
157	4.923777607
158	4.918923436
159	4.915469402
160	4.91078531
161	4.907272995
162	4.900852836
163	4.894607939
164	4.890774454
165	4.888430367
166	4.884736424
167	4.881311143
168	4.877627624
169	4.874594898
170	4.87168211
171	4.867329302
172	4.863023252
173	4.856362196
174	4.850150321
175	4.847692682
176	4.841516689
177	4.838251654
178	4.836041689
179	4.830902481
180	4.824923197
181	4.820168219
182	4.816442694
183	4.810933917
184	4.808273553
185	4.805182025
186	4.802486483
187	4.798399081
188	4.79559757
189	4.792432083
190	4.786768826
191	4.782976186
192	4.778452885
193	4.773486079
194	4.767282838
195	4.76423725
196	4.759957615
197	4.756073816
198	4.753153625
199	4.747982032
200	4.744208588
201	4.73821067
202	4.730383698
203	4.725815226
204	4.723819399
205	4.720597005
206	4.716726067
207	4.711380402
208	4.708013451
209	4.703718466
210	4.70000398
211	4.697354771
212	4.692330948
213	4.691193026
214	4.688924634
215	4.684540178
216	4.680935038
217	4.676677255
218	4.674254147
219	4.67093751
220	4.667414181
221	4.664908645
222	4.663005336
223	4.658568185
224	4.651621105
225	4.646997692
226	4.642005775
227	4.637199672
228	4.632863745
229	4.629662638
230	4.625292542
231	4.618990254
232	4.615881581
233	4.611312987
234	4.60897292
235	4.60362761
236	4.598599839
237	4.59359621
238	4.591393476
239	4.588911744
240	4.586404527
241	4.584467306
242	4.578839892
243	4.577031103
244	4.574971712
245	4.570422916
246	4.568081336
247	4.56548076
248	4.563857904
249	4.560334401
250	4.555974845
251	4.553179249
252	4.550018135
253	4.547499397
254	4.544455314
255	4.539599131
256	4.534707938
257	4.532088807
258	4.530364938
259	4.525002221
260	4.523459629
261	4.521913614
262	4.519234121
263	4.51253771
264	4.511670514
265	4.508707612
266	4.505662659
267	4.500315548
268	4.497068573
269	4.492968007
270	4.488335786
271	4.486933036
272	4.486129836
273	4.484723456
274	4.480016273
275	4.474416829
276	4.471671978
277	4.465530962
278	4.460486178
279	4.458955276
280	4.456001007
281	4.454041856
282	4.450261423
283	4.448660031
284	4.447066326
285	4.438804349
286	4.436633989
287	4.435060968
288	4.430992372
289	4.429200069
290	4.422120667
291	4.419449214
292	4.413610888
293	4.412933714
294	4.40887498
295	4.406508488
296	4.402459214
297	4.398664406
298	4.393339204
299	4.391088341
300	4.389332256
301	4.383040397
302	4.381266805
303	4.379652638
304	4.377262168
305	4.37600907
306	4.370135192
307	4.366383038
308	4.362502656
309	4.355921188
310	4.351614092
311	4.349921486
312	4.345713575
313	4.341623207
314	4.337268239
315	4.333421674
316	4.331409944
317	4.327450834
318	4.323494413
319	4.3202168
320	4.31765054
321	4.313749604
322	4.30725951
323	4.305695059
324	4.301675934
325	4.298251058
326	4.295664844
327	4.291947012
328	4.288388189
329	4.285602132
330	4.281709079
331	4.276287121
332	4.273155769
333	4.268454514
334	4.265573349
335	4.26106885
336	4.259364089
337	4.258156777
338	4.256394656
339	4.252465871
340	4.250470333
341	4.247951141
342	4.24478116
343	4.24313471
344	4.23745806
345	4.233024553
346	4.22791664
347	4.22542442
348	4.222703832
349	4.218453234
350	4.215971732
351	4.209952042
352	4.207296656
353	4.203420782
354	4.198079586
355	4.19432189
356	4.19028748
357	4.187850985
358	4.184202692
359	4.181346626
360	4.179893776
361	4.175545263
362	4.173775039
363	4.170018892
364	4.166819725
365	4.162992946
366	4.162862016
367	4.158021006
368	4.153733945
369	4.150726331
370	4.148949613
371	4.146898482
