iter	Passed	Remaining
0	134	134453
1	135	67598
2	136	45329
3	137	34322
4	139	27672
5	140	23196
6	140	19986
7	142	17661
8	143	15802
9	144	14295
10	145	13059
11	146	12034
12	148	11236
13	148	10488
14	149	9838
15	150	9267
16	153	8867
17	154	8414
18	155	8007
19	156	7644
20	158	7369
21	159	7070
22	160	6813
23	162	6617
24	163	6385
25	164	6179
26	165	5978
27	167	5828
28	168	5651
29	169	5486
30	170	5330
31	172	5221
32	173	5086
33	174	4963
34	175	4841
35	177	4760
36	178	4651
37	179	4546
38	180	4447
39	182	4383
40	183	4294
41	184	4208
42	185	4125
43	187	4071
44	188	3998
45	189	3922
46	190	3853
47	191	3791
48	193	3746
49	193	3684
50	194	3624
51	195	3566
52	197	3534
53	198	3482
54	199	3430
55	200	3380
56	202	3351
57	203	3309
58	204	3264
59	205	3220
60	207	3200
61	208	3159
62	209	3119
63	210	3080
64	212	3059
65	213	3023
66	214	2987
67	215	2952
68	218	2948
69	220	2923
70	223	2928
71	225	2902
72	226	2873
73	228	2864
74	229	2835
75	230	2806
76	233	2794
77	234	2768
78	235	2742
79	236	2717
80	239	2714
81	240	2688
82	241	2663
83	243	2654
84	244	2630
85	245	2606
86	246	2582
87	248	2578
88	249	2556
89	250	2536
90	252	2521
91	253	2502
92	254	2485
93	255	2462
94	256	2443
95	258	2434
96	259	2415
97	260	2397
98	261	2379
99	263	2369
100	264	2351
101	264	2332
102	265	2315
103	267	2308
104	268	2292
105	269	2275
106	270	2259
107	272	2253
108	273	2239
109	275	2226
110	276	2212
111	278	2207
112	279	2192
113	280	2177
114	281	2163
115	283	2159
116	284	2145
117	285	2131
118	286	2117
119	288	2113
120	289	2101
121	290	2088
122	291	2074
123	293	2071
124	294	2059
125	295	2046
126	295	2034
127	297	2029
128	298	2018
129	299	2006
130	300	1994
131	302	1986
132	303	1979
133	304	1970
134	307	1971
135	309	1964
136	310	1955
137	313	1958
138	314	1949
139	315	1939
140	320	1949
141	321	1941
142	323	1938
143	324	1928
144	325	1917
145	326	1907
146	328	1904
147	329	1895
148	330	1885
149	331	1875
150	333	1875
151	334	1867
152	335	1858
153	336	1848
154	337	1841
155	338	1832
156	339	1823
157	342	1825
158	343	1816
159	344	1808
160	345	1799
161	347	1798
162	348	1791
163	350	1784
164	352	1782
165	353	1774
166	354	1766
167	355	1759
168	357	1759
169	358	1751
170	359	1744
171	360	1737
172	362	1734
173	363	1727
174	364	1719
175	365	1712
176	367	1709
177	368	1701
178	369	1694
179	370	1686
180	372	1685
181	373	1678
182	374	1671
183	375	1663
184	377	1663
185	378	1656
186	379	1649
187	380	1642
188	382	1640
189	383	1634
190	384	1627
191	385	1620
192	387	1619
193	388	1613
194	389	1607
195	390	1600
196	392	1599
197	393	1592
198	394	1586
199	394	1579
200	396	1574
201	397	1572
202	398	1565
203	399	1559
204	400	1553
205	403	1554
206	404	1548
207	405	1542
208	405	1536
209	407	1534
210	408	1528
211	409	1522
212	410	1516
213	412	1514
214	413	1508
215	414	1503
216	415	1497
217	416	1494
218	418	1492
219	419	1487
220	422	1488
221	423	1483
222	424	1478
223	425	1472
224	427	1471
225	428	1466
226	429	1461
227	430	1456
228	432	1457
229	433	1452
230	434	1446
231	435	1441
232	437	1440
233	438	1435
234	439	1430
235	440	1426
236	442	1425
237	444	1421
238	445	1417
239	448	1419
240	449	1414
241	450	1409
242	451	1405
243	452	1403
244	453	1398
245	454	1393
246	455	1388
247	457	1387
248	458	1382
249	459	1378
250	460	1373
251	461	1370
252	462	1366
253	463	1361
254	464	1357
255	465	1353
256	467	1352
257	468	1347
258	469	1343
259	470	1339
260	472	1338
261	473	1333
262	474	1328
263	475	1324
264	477	1324
265	478	1319
266	479	1315
267	480	1311
268	482	1310
269	483	1306
270	484	1302
271	484	1297
272	487	1298
273	488	1294
274	489	1290
275	490	1285
276	492	1285
277	493	1281
278	494	1277
279	496	1276
280	497	1274
281	498	1270
282	499	1266
283	500	1262
284	502	1261
285	503	1257
286	504	1253
287	505	1250
288	508	1250
289	509	1246
290	510	1243
291	512	1242
292	513	1238
293	514	1234
294	515	1231
295	517	1231
296	518	1227
297	519	1224
298	520	1220
299	522	1219
300	523	1215
301	524	1212
302	525	1208
303	528	1209
304	529	1205
305	530	1202
306	530	1198
307	532	1196
308	533	1193
309	534	1190
310	536	1188
311	538	1186
312	539	1183
313	540	1180
314	542	1180
315	543	1176
316	544	1173
317	545	1169
318	547	1169
319	548	1165
320	549	1162
321	550	1158
322	552	1158
323	553	1154
324	554	1151
325	555	1148
326	557	1146
327	558	1144
328	559	1141
329	560	1137
330	562	1137
331	563	1134
332	564	1130
333	565	1127
334	567	1127
335	568	1123
336	569	1120
337	570	1117
338	573	1117
339	574	1114
